species_key,species,obs_id,photo_idx,lat,lon,img_url
5376075,Alliaria petiolata,5154475003,0,40.808449,-77.874356,https://inaturalist-open-data.s3.amazonaws.com/photos/503581052/original.jpeg
5376075,Alliaria petiolata,5215963595,0,40.818379,-77.967136,https://inaturalist-open-data.s3.amazonaws.com/photos/523623666/original.jpg
5376075,Alliaria petiolata,5153617687,0,40.707376,-77.902282,https://inaturalist-open-data.s3.amazonaws.com/photos/501577369/original.jpeg
5376075,Alliaria petiolata,5154151789,0,40.788117,-77.855422,https://inaturalist-open-data.s3.amazonaws.com/photos/503882097/original.jpg
5376075,Alliaria petiolata,5154445729,0,40.788078,-77.855522,https://inaturalist-open-data.s3.amazonaws.com/photos/503880070/original.jpg
5376075,Alliaria petiolata,5154737768,0,40.879763,-77.791833,https://inaturalist-open-data.s3.amazonaws.com/photos/503322661/original.jpg
5376075,Alliaria petiolata,5166841582,0,40.782597,-77.839951,https://inaturalist-open-data.s3.amazonaws.com/photos/506330877/original.jpg
5376075,Alliaria petiolata,5166841978,0,40.797406,-77.840001,https://inaturalist-open-data.s3.amazonaws.com/photos/505485809/original.jpg
5376075,Alliaria petiolata,5166841978,1,40.797406,-77.840001,https://inaturalist-open-data.s3.amazonaws.com/photos/505485858/original.jpg
5376075,Alliaria petiolata,5168108706,0,40.790703,-77.876649,https://inaturalist-open-data.s3.amazonaws.com/photos/511551649/original.jpg
5376075,Alliaria petiolata,5168108706,1,40.790703,-77.876649,https://inaturalist-open-data.s3.amazonaws.com/photos/511551607/original.jpg
5376075,Alliaria petiolata,5168135558,0,40.825244,-77.73023,https://inaturalist-open-data.s3.amazonaws.com/photos/511460544/original.jpg
5376075,Alliaria petiolata,5198503947,0,40.741137,-77.514136,https://inaturalist-open-data.s3.amazonaws.com/photos/519802469/original.jpg
5376075,Alliaria petiolata,5217125300,0,40.842235,-77.997961,https://inaturalist-open-data.s3.amazonaws.com/photos/530016744/original.jpg
5376075,Alliaria petiolata,5867792270,0,40.788956,-77.858192,https://inaturalist-open-data.s3.amazonaws.com/photos/577457860/original.jpg
5376075,Alliaria petiolata,5889598522,0,40.795163,-77.85787,https://inaturalist-open-data.s3.amazonaws.com/photos/582681578/original.jpg
5376075,Alliaria petiolata,5897689780,0,40.791063,-77.871361,https://inaturalist-open-data.s3.amazonaws.com/photos/591835770/original.jpg
5376075,Alliaria petiolata,5897474179,0,40.832459,-77.845115,https://inaturalist-open-data.s3.amazonaws.com/photos/591573857/original.jpg
5376075,Alliaria petiolata,5935299830,0,40.855932,-77.823209,https://inaturalist-open-data.s3.amazonaws.com/photos/603632443/original.jpg
5376075,Alliaria petiolata,4528011220,0,40.796717,-77.840046,https://inaturalist-open-data.s3.amazonaws.com/photos/353203790/original.jpeg
5376075,Alliaria petiolata,4600185757,0,40.875644,-77.790655,https://inaturalist-open-data.s3.amazonaws.com/photos/360418799/original.jpeg
5376075,Alliaria petiolata,4606706038,0,40.808537,-77.873633,https://inaturalist-open-data.s3.amazonaws.com/photos/361081903/original.jpg
5376075,Alliaria petiolata,4606706038,1,40.808537,-77.873633,https://inaturalist-open-data.s3.amazonaws.com/photos/361081874/original.jpg
5376075,Alliaria petiolata,4607291858,0,40.752129,-77.817602,https://inaturalist-open-data.s3.amazonaws.com/photos/361163339/original.jpeg
5376075,Alliaria petiolata,4852705333,0,40.731147,-78.010078,https://inaturalist-open-data.s3.amazonaws.com/photos/373640392/original.jpg
5376075,Alliaria petiolata,4607097082,0,40.701212,-77.967812,https://inaturalist-open-data.s3.amazonaws.com/photos/363307501/original.jpg
5376075,Alliaria petiolata,4847062590,0,40.87892,-77.789606,https://inaturalist-open-data.s3.amazonaws.com/photos/365896969/original.jpg
