speciesKey,obs_count,species
3119285,34,Erigeron philadelphicus
2705308,34,Dactylis glomerata
3026819,34,Spiraea tomentosa
7832723,33,Symphyotrichum lateriflorum
3152824,33,Liquidambar styraciflua
3084745,33,Claytonia virginica
5371705,33,Actaea pachypoda
2971095,32,Melilotus albus
5383717,32,Nyssa sylvatica
3189859,32,Acer saccharum
3152583,31,Hibiscus syriacus
3152042,31,Tilia americana
2888293,31,Pyrola elliptica
2888307,31,Chimaphila umbellata
7133268,31,Viola eriocarpa
5331225,31,Viola rostrata
2880539,31,Quercus rubra
3169137,31,Euonymus fortunei
3801688,30,Solanum emulans
2949728,30,Chamaecrista fasciculata
4033648,30,Persicaria perfoliata
3040210,30,Populus grandidentata
5388960,30,Solidago bicolor
2984676,30,Pachysandra terminalis
2722529,29,Carex lurida
2927324,29,Lamium galeobdolon
3151421,29,Symphyotrichum cordifolium
8262702,29,Pastinaca sativa
2650999,29,Matteuccia struthiopteris
2684391,28,Juniperus virginiana
3169391,28,Lysimachia ciliata
2805526,28,Spiranthes lacera
3046217,28,Cardamine concatenata
3040215,28,Populus tremuloides
7459480,28,Convallaria majalis
3033541,27,Clematis virginiana
2927744,27,Phlox paniculata
8080743,27,Scilla siberica
8251158,27,Penstemon digitalis
3034155,27,Osmorhiza longistylis
5356517,27,Lathyrus latifolius
3033412,27,Ranunculus abortivus
5341818,27,Physalis longifolia
3170307,26,Asclepias exaltata
9172281,26,Silene vulgaris
5393103,26,Arctium minus
3913203,26,Hylodesmum glutinosum
5371822,26,Angelica atropurpurea
2740314,26,Uvularia sessilifolia
2888342,26,Hypopitys monotropa
3108983,25,Senecio vulgaris
3169379,25,Lysimachia nummularia
2730250,25,Eriophorum virginicum
2874655,25,Sicyos angulatus
3190089,25,Zanthoxylum americanum
3171738,25,Melampyrum lineare
2888605,24,Viburnum opulus
10944522,24,Mummenhoffia alliacea
5341242,24,Mertensia virginica
6397021,24,Viola fimbriatula
3134857,24,Lapsana communis
2888723,24,Sambucus racemosa
8193111,24,Melilotus officinalis
8351737,24,Hedera helix
2754553,23,Dioscorea villosa
2651832,23,Adiantum pedatum
3138201,23,Eutrochium fistulosum
3090343,23,Conoclinium coelestinum
3033113,23,Thalictrum dioicum
2878190,23,Quercus ilicifolia
3153837,23,Magnolia acuminata
6374883,22,Hepatica acutiloba
6390897,22,Persicaria sagittata
5389083,22,Solidago juncea
3152820,22,Platanus occidentalis
3151618,22,Symphyotrichum novae-angliae
3067119,22,Euphorbia maculata
3172425,22,Utricularia macrorhiza
3084719,22,Portulaca oleracea
2855356,22,Galanthus nivalis
2856745,22,Allium cernuum
2888554,22,Dicentra canadensis
2808813,22,Isotria verticillata
3169816,21,Apocynum androsaemifolium
3151755,21,Symphyotrichum pilosum
2955772,21,Lespedeza capitata
8298495,21,Galinsoga quadriradiata
8271565,21,Vernonia noveboracensis
3033146,21,Thalictrum pubescens
2928751,21,Datura stramonium
2890668,21,Geranium robertianum
2888466,21,Stylophorum diphyllum
2888608,21,Viburnum prunifolium
10785996,21,Callicladium imponens
3101060,21,Pseudognaphalium obtusifolium
3082242,21,Cornus alternifolia
5331709,21,Betula lenta
5363119,21,Pyrus calleryana
5292775,20,Dulichium arundinaceum
7851429,20,Botrypus virginianus
2688393,20,Lycopodium clavatum
3992189,20,Spinulum annotinum
